Month,ARR ($AUD),Clients (Est)
0,0.0,0.0
1,6332.0,0.0
2,14449.0,0.0
3,24850.0,1.0
4,38171.0,1.0
5,55217.0,2.0
6,77010.0,2.0
7,104837.0,3.0
8,140316.0,4.0
9,185460.0,6.0
10,242757.0,7.0
11,315247.0,9.0
12,406590.0,12.0
13,521103.0,16.0
14,663752.0,20.0
15,840046.0,25.0
16,1055794.0,32.0
17,1316682.0,40.0
18,1627625.0,49.0
19,1991898.0,60.0
20,2410138.0,72.0
21,2879377.0,86.0
22,3392389.0,102.0
23,3937630.0,118.0
24,4500000.0,135.0
25,5062370.0,152.0
26,5607611.0,168.0
27,6120623.0,184.0
28,6589862.0,198.0
29,7008102.0,210.0
30,7372375.0,221.0
31,7683318.0,231.0
32,7944206.0,239.0
33,8159954.0,245.0
34,8336248.0,250.0
35,8478897.0,255.0
36,8593410.0,258.0
